ts,raw_score,smoothed_score,band
1757811843,88.00,87.99,High
1757811843,88.00,87.99,High
1757811843,88.00,87.99,High
1757811843,88.00,87.99,High
1757811843,88.00,87.99,High
1757811843,88.00,88.00,High
1757811843,88.00,88.00,High
1757811843,88.00,88.00,High
1757811843,23.13,73.73,Moderate
1757811843,88.00,76.87,Moderate
1757811843,22.97,65.01,Moderate
1757811843,19.39,54.97,Mild
1757811844,26.06,48.61,Mild
1757811844,88.00,57.28,Moderate
1757811844,22.48,49.62,Mild
1757811844,88.00,58.07,Moderate
1757811844,60.00,58.49,Moderate
1757811844,60.00,58.82,Moderate
1757811844,60.00,59.08,Moderate
1757811844,88.00,65.44,Moderate
1757811844,88.00,70.41,Moderate
1757811844,88.00,74.28,Moderate
1757811844,60.00,71.14,Moderate
1757811844,17.62,59.36,Moderate
1757811844,60.00,59.50,Moderate
1757811844,60.00,59.61,Moderate
1757811844,60.00,59.70,Moderate
1757811844,88.00,65.92,Moderate
1757811844,24.93,56.91,Moderate
1757811844,60.00,57.59,Moderate
1757811844,16.92,48.64,Mild
1757811844,23.29,43.06,Mild
1757811844,60.00,46.79,Mild
1757811844,17.23,40.29,Mild
1757811844,60.00,44.62,Mild
1757811844,60.00,48.01,Mild
1757811844,60.00,50.64,Mild
1757811844,60.00,52.70,Mild
1757811844,60.00,54.31,Mild
1757811844,22.97,47.41,Mild
1757811844,31.81,43.98,Mild
1757811844,60.00,47.51,Mild
1757811845,23.12,42.14,Mild
1757811845,60.00,46.07,Mild
1757811845,88.00,55.29,Moderate
1757811845,18.80,47.26,Mild
1757811845,25.03,42.37,Mild
1757811845,60.00,46.25,Mild
1757811845,60.00,49.28,Mild
1757811845,19.03,42.62,Mild
1757811845,31.14,40.10,Mild
1757811845,60.00,44.47,Mild
1757811845,25.96,40.40,Mild
1757811845,30.55,38.23,Mild
1757811845,17.96,33.77,Mild
1757811845,28.22,32.55,Mild
1757811845,60.00,38.59,Mild
1757811845,31.93,37.12,Mild
1757811845,88.00,48.32,Mild
1757811845,88.00,57.05,Moderate
1757811845,60.00,57.70,Moderate
1757811845,60.00,58.20,Moderate
1757811845,60.00,58.60,Moderate
1757811845,60.00,58.91,Moderate
1757811845,49.85,56.92,Moderate
1757811845,48.21,55.00,Moderate
1757811845,41.29,51.98,Mild
1757811845,60.00,53.75,Mild
1757811845,21.92,46.75,Mild
1757811845,19.56,40.76,Mild
1757811845,60.00,45.00,Mild
1757811845,60.00,48.30,Mild
1757811846,24.78,43.12,Mild
1757811846,18.61,37.73,Mild
1757811846,25.81,35.11,Mild
1757811846,25.56,33.01,Mild
1757811846,60.00,38.94,Mild
1757811846,32.48,37.52,Mild
1757811846,26.04,35.00,Mild
1757811846,31.06,34.13,Mild
1757811846,88.00,45.98,Mild
1757811846,26.44,41.68,Mild
1757811846,18.25,36.53,Mild
1757811846,23.76,33.72,Mild
1757811846,16.51,29.93,Mild
1757811846,26.44,29.16,Mild
1757811846,21.51,27.48,Mild
1757811846,60.00,34.63,Mild
1757811846,26.76,32.90,Mild
1757811846,28.64,31.96,Mild
1757811846,88.00,44.29,Mild
1757811846,60.00,47.75,Mild
1757811846,24.08,42.54,Mild
1757811846,60.00,46.38,Mild
1757811846,24.56,41.58,Mild
1757811846,32.66,39.62,Mild
1757811846,88.00,50.26,Mild
1757811846,60.00,52.40,Mild
1757811846,60.00,54.08,Mild
1757811846,60.00,55.38,Moderate
1757811846,60.00,56.40,Moderate
1757811846,60.00,57.19,Moderate
1757811847,60.00,57.81,Moderate
1757811847,60.00,58.29,Moderate
1757811847,60.00,58.67,Moderate
1757811847,60.00,58.96,Moderate
1757811847,60.00,59.19,Moderate
1757811847,88.00,65.53,Moderate
1757811847,88.00,70.47,Moderate
1757811847,88.00,74.33,Moderate
1757811847,88.00,77.34,Moderate
1757811847,88.00,79.68,Moderate
1757811847,60.00,75.35,Moderate
1757811847,88.00,78.13,Moderate
1757811847,32.66,68.13,Moderate
1757811847,88.00,72.50,Moderate
1757811847,60.00,69.75,Moderate
1757811847,88.00,73.77,Moderate
1757811847,60.00,70.74,Moderate
1757811847,28.06,61.35,Moderate
1757811847,88.00,67.21,Moderate
1757811847,60.00,65.63,Moderate
1757811847,27.84,57.31,Moderate
1757811847,88.00,64.06,Moderate
1757811847,60.00,63.17,Moderate
1757811847,60.00,62.47,Moderate
1757811847,88.00,68.09,Moderate
1757811847,60.00,66.31,Moderate
1757811847,60.00,64.92,Moderate
1757811847,60.00,63.84,Moderate
1757811847,32.92,57.04,Moderate
1757811847,88.00,63.85,Moderate
1757811848,31.08,56.64,Moderate
1757811848,31.08,51.02,Mild
1757811848,33.10,47.07,Mild
1757811848,88.00,56.08,Moderate
1757811848,33.69,51.15,Mild
1757811848,60.00,53.10,Mild
1757811848,60.00,54.62,Mild
1757811848,29.51,49.09,Mild
1757811848,28.38,44.54,Mild
1757811848,29.88,41.31,Mild
1757811848,28.23,38.43,Mild
1757811848,88.00,49.34,Mild
1757811848,88.00,57.84,Moderate
1757811848,60.00,58.32,Moderate
1757811848,60.00,58.69,Moderate
1757811848,88.00,65.14,Moderate
1757811848,88.00,70.17,Moderate
1757811848,88.00,74.09,Moderate
1757811848,88.00,77.15,Moderate
1757811848,60.00,73.38,Moderate
1757811848,88.00,76.59,Moderate
1757811848,88.00,79.10,Moderate
1757811848,88.00,81.06,High
1757811848,88.00,82.59,High
1757811848,60.00,77.62,Moderate
1757811848,88.00,79.90,Moderate
1757811848,88.00,81.68,High
1757811848,88.00,83.07,High
1757811848,88.00,84.16,High
1757811848,88.00,85.00,High
1757811848,32.81,73.52,Moderate
1757811849,88.00,76.71,Moderate
1757811849,37.23,68.02,Moderate
1757811849,88.00,72.42,Moderate
1757811849,88.00,75.84,Moderate
1757811849,60.00,72.36,Moderate
1757811849,35.61,64.27,Moderate
1757811849,88.00,69.49,Moderate
1757811849,60.00,67.41,Moderate
1757811849,88.00,71.94,Moderate
1757811849,88.00,75.47,Moderate
1757811849,60.00,72.07,Moderate
1757811849,88.00,75.57,Moderate
1757811849,33.07,66.22,Moderate
1757811849,29.86,58.22,Moderate
1757811849,88.00,64.77,Moderate
1757811849,88.00,69.88,Moderate
1757811849,88.00,73.87,Moderate
1757811849,60.00,70.82,Moderate
1757811849,60.00,68.44,Moderate
1757811849,24.71,58.82,Moderate
1757811849,28.28,52.10,Mild
1757811849,88.00,60.00,Moderate
1757811849,88.00,66.16,Moderate
1757811849,88.00,70.96,Moderate
1757811849,60.00,68.55,Moderate
1757811849,88.00,72.83,Moderate
1757811849,21.95,61.64,Moderate
1757811849,60.00,61.28,Moderate
1757811849,60.00,61.00,Moderate
1757811850,49.05,58.37,Moderate
1757811850,88.00,64.89,Moderate
1757811850,88.00,69.97,Moderate
1757811850,88.00,73.94,Moderate
1757811850,88.00,77.03,Moderate
1757811850,88.00,79.44,Moderate
1757811850,88.00,81.33,High
1757811850,88.00,82.79,High
1757811850,88.00,83.94,High
1757811850,88.00,84.83,High
1757811850,88.00,85.53,High
1757811850,88.00,86.07,High
1757811850,88.00,86.50,High
1757811850,88.00,86.83,High
1757811850,88.00,87.09,High
1757811850,88.00,87.29,High
1757811850,60.00,81.28,High
1757811850,23.42,68.55,Moderate
1757811850,27.57,59.54,Moderate
1757811850,60.00,59.64,Moderate
1757811850,60.00,59.72,Moderate
1757811850,60.00,59.78,Moderate
1757811850,88.00,65.99,Moderate
1757811850,60.00,64.67,Moderate
1757811850,88.00,69.80,Moderate
1757811850,60.00,67.65,Moderate
1757811850,88.00,72.12,Moderate
1757811850,88.00,75.62,Moderate
1757811850,88.00,78.34,Moderate
1757811850,60.00,74.31,Moderate
1757811851,60.00,71.16,Moderate
1757811851,88.00,74.86,Moderate
1757811851,88.00,77.75,Moderate
1757811851,88.00,80.01,High
1757811851,88.00,81.77,High
1757811851,88.00,83.14,High
1757811851,88.00,84.21,High
1757811851,88.00,85.04,High
1757811851,88.00,85.69,High
1757811851,88.00,86.20,High
1757811851,88.00,86.60,High
1757811851,88.00,86.91,High
1757811851,60.00,80.99,High
1757811851,26.59,69.02,Moderate
1757811851,60.00,67.04,Moderate
1757811851,60.00,65.49,Moderate
1757811851,60.00,64.28,Moderate
1757811851,88.00,69.50,Moderate
1757811851,88.00,73.57,Moderate
1757811851,88.00,76.74,Moderate
1757811851,88.00,79.22,Moderate
1757811851,88.00,81.15,High
1757811851,88.00,82.66,High
1757811851,88.00,83.83,High
1757811851,88.00,84.75,High
1757811851,88.00,85.47,High
1757811851,88.00,86.02,High
1757811851,88.00,86.46,High
1757811851,88.00,86.80,High
1757811851,88.00,87.06,High
1757811851,88.00,87.27,High
1757811852,88.00,87.43,High
1757811852,60.00,81.39,High
1757811852,88.00,82.85,High
1757811852,88.00,83.98,High
1757811852,88.00,84.87,High
1757811852,31.90,73.21,Moderate
1757811852,60.00,70.31,Moderate
1757811852,88.00,74.20,Moderate
1757811852,88.00,77.23,Moderate
1757811852,60.00,73.44,Moderate
1757811852,88.00,76.65,Moderate
1757811852,88.00,79.14,Moderate
1757811852,88.00,81.09,High
1757811852,88.00,82.61,High
1757811852,60.00,77.64,Moderate
1757811852,88.00,79.92,Moderate
1757811852,60.00,75.54,Moderate
1757811852,88.00,78.28,Moderate
1757811852,60.00,74.26,Moderate
1757811852,60.00,71.12,Moderate
1757811852,88.00,74.83,Moderate
1757811852,88.00,77.73,Moderate
1757811852,31.08,67.47,Moderate
1757811852,88.00,71.98,Moderate
1757811852,88.00,75.51,Moderate
1757811852,60.00,72.10,Moderate
1757811852,60.00,69.44,Moderate
1757811852,60.00,67.36,Moderate
1757811852,88.00,71.90,Moderate
1757811852,88.00,75.44,Moderate
